t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C,Sr
1999.0,0.19999999999997448,158113.88300844404,2.5217685834982928e-09,5.939156558416135e-18,5.261466368888911e-25,1.6721904392527794e-31,-8.844882621423255e-37,5.025941094033129e-41,-2.9556999443432157e-43,1.2463745144723894e-45,6.012440550234302e-48,9.02565714186533e-47,31622.776601683792
1999.0,0.19999999999999946,162178.04036179054,3.795717871854648e-10,1.287695099850428e-14,-1.468464332551824e-16,-4.18581396664527e-18,7.756023829410894e-20,-9.906995090746854e-19,-1.9709038436679945e-19,-1.0319453408433443e-20,1.1470395081174317e-21,-1.1415757337154918e-20,32435.608072358114
1999.0,0.20000000000000143,166346.66276705285,-2.737147321050087e-10,-4.408971661383858e-14,-1.886687475696228e-18,5.502477698537234e-18,1.7399861124453585e-19,-1.997970115731466e-19,-3.389237678180148e-19,-5.249905069601894e-20,5.9941979915962836e-21,-6.375497419143451e-20,33269.332553410386
1999.0,0.2000000000000014,170622.43539264536,-2.742090340582993e-10,-4.377736170329397e-14,-1.5025739372093193e-18,5.322125888534444e-18,1.8027692630281308e-19,-1.9995524133623482e-19,-3.363233972651076e-19,-5.1974642008864833e-20,5.975441190081099e-21,-7.191652549679462e-20,34124.487078528895
1999.0,0.19999999999999335,175008.11242654535,-8.938955500668581e-10,-1.6499792479953443e-13,-7.338188527395147e-16,-1.3597922077987611e-17,5.492311050663232e-19,1.0247835908181035e-18,7.642956656832258e-20,-1.2765593313240501e-21,-5.732143729380589e-22,3.4519957551145374e-22,35001.62248530942
1999.0,0.19999999999999882,179506.51885034592,-2.3267898458853893e-10,-2.3039115415865583e-13,-1.2010401989304125e-15,6.308811534327773e-17,-4.800011608812426e-18,-2.774984876463128e-20,7.671573195354906e-21,2.0320611010415947e-19,5.1642675583471866e-20,2.1609169253106032e-19,35901.303770070685
1999.0,0.1999999999999987,184120.5522589424,-2.51261786895783e-10,-2.396129868052316e-13,-1.2453893898862585e-15,6.716455302513554e-17,-5.135020313498774e-18,-1.403261233887866e-20,1.2120855720169109e-21,2.1641003400226116e-19,5.728447757952839e-20,2.263399655424395e-19,36824.11045179003
1999.0,0.19999999999999948,188853.18472696227,-1.2960946973066637e-10,-1.5211695998514726e-13,-3.37889657289276e-15,-5.881660502786916e-17,2.1782525448773522e-17,-6.434520728619181e-19,-2.246493256643709e-19,-1.400638826455242e-20,-3.8049383378297747e-22,-4.152008439124134e-20,37770.63694539364
1999.0,0.19999999999999898,193707.46472320196,-2.0894428390754294e-10,-2.1777775260399831e-13,-1.1415230591530794e-15,5.75394655391379e-17,-4.402015716164557e-18,-4.356225047650577e-20,3.593007522805205e-21,1.828723270237376e-19,4.509389182742727e-20,1.8718012539540108e-19,38741.49294464184
1999.0,0.1999999999999991,198686.51907427306,-2.0239071642351804e-10,-2.1418404469851412e-13,-1.1244456266763694e-15,5.598305882050175e-17,-4.287020396341361e-18,-4.680683489958273e-20,3.1606614901293853e-21,1.7750802433129812e-19,4.331715066354991e-20,1.7480245918124903e-19,39737.303814856044
1999.0,0.19999999999999918,203793.55497869503,-1.926286375781026e-10,-2.0855817972967685e-13,-1.0987861040705745e-15,5.3652657863873176e-17,-4.125802088279101e-18,-5.280307519377941e-20,1.903849702603867e-21,1.693936316641899e-19,4.073389597071106e-20,1.5747407747539562e-19,40758.7109957404
1999.0,0.19999999999999918,209031.86207278125,-1.8615241130738998e-10,-2.0478252784841141e-13,-1.0807478649842035e-15,5.212001325859884e-17,-4.021500714972398e-18,-5.81677240693034e-20,4.1281968716249034e-22,1.6393519187643382e-19,3.90652432335531e-20,1.3961055999394195e-19,41806.37241455762
1999.0,0.2000000000000009,214404.8145496252,-1.0781148546791729e-10,-1.141548618608517e-13,-2.9757902283832258e-15,6.2039163695384826e-18,1.69444251272365e-17,-1.2825359744315823e-18,-2.30640568044035e-19,-1.2199688007192478e-20,-2.597627398421021e-22,-9.723476979436609e-20,42880.962909924616
