t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.1999999999999967,158113.8830084183,-1.2073401404713278e-09,-8.534287666859755e-18,1.3125543756627149e-24,2.385490352731864e-32,4.053990922983768e-37,7.382795832287623e-42,-1.7016701957952051e-43,-1.0455157134272469e-45,1.0973837998987945e-47,-6.898284320129983e-47,7.5819205772494695e-50,7.531864729836306e-50,7.531758067889547e-50,7.53175774757378e-50,7.531757746446511e-50,7.53175774643487e-50,7.531757746440806e-50,7.531757746440806e-50,7.531757746440806e-50,31622.776601683792
1999.0,0.1999999999999962,162178.0403617805,-2.08332479766025e-10,-8.237283556552092e-14,-2.7285391431707786e-16,-1.641995117904174e-17,4.576399727710428e-18,-1.2605657187899199e-18,-2.749302134686668e-19,9.748288738120043e-20,-9.753172052104475e-21,9.95994614558421e-20,-5.573558482459091e-21,-5.573557620566164e-21,-5.5735576191918514e-21,-5.573557653579274e-21,-5.573557598130317e-21,-5.573557619156459e-21,-5.573557619156459e-21,-5.573557619156459e-21,-5.573557619156459e-21,32435.608072358114
1999.0,0.19999999999999618,166346.66276704194,-2.1262845745223376e-10,-8.460864193522653e-14,-2.079130288222363e-16,-2.6565613972182514e-17,4.789804878857133e-18,-1.38105968888737e-18,-1.9215626009258185e-19,1.061870287368114e-19,-9.109075996543127e-21,1.1679135222194898e-19,-3.493555126517531e-21,-3.493554525705392e-21,-3.493554543302027e-21,-3.4935545432958306e-21,-3.4935545252123234e-21,-3.4935545431708e-21,-3.4935545431708e-21,-3.4935545431708e-21,-3.4935545431708e-21,33269.332553410386
1999.0,0.19999999999999046,170622.43539263948,-2.0819204525606742e-10,-8.232357028416759e-14,-2.73121992004972e-16,-1.6442829653715076e-17,4.5784839769186325e-18,-1.260842855047962e-18,-2.749772504859555e-19,9.750009068117631e-20,-9.754090757905576e-21,1.0908811541235578e-19,-5.574460433592031e-21,-5.5744597174926436e-21,-5.5744597153627554e-21,-5.574459736414217e-21,-5.574459688477414e-21,-5.574459688440191e-21,-5.574459688440191e-21,-5.574459688440191e-21,-5.574459688440191e-21,34124.487078528895
1999.0,0.19999999999999643,175008.11242653706,-2.0725848650304318e-10,-8.204578271412414e-14,-2.7429038574321465e-16,-1.6555561554039112e-17,4.5911321677101875e-18,-1.2631306302976102e-18,-2.7545265010550063e-19,9.762521241866226e-20,-9.763111224040584e-21,1.120540211708955e-19,-5.580660948994283e-21,-5.580660000364035e-21,-5.580659977173412e-21,-5.5806599980446796e-21,-5.580659998032753e-21,-5.580660098259939e-21,-5.580660098259939e-21,-5.580660098259939e-21,-5.580660098259939e-21,35001.62248530942
1999.0,0.19999999999999662,179506.51885034333,-2.0763110813850752e-10,-8.215082149796502e-14,-2.7389910196626005e-16,-1.6510108660762595e-17,4.586189787949004e-18,-1.262124841980418e-18,-2.7529603756505578e-19,9.757475920221042e-20,-9.756177853090165e-21,1.129477240178815e-19,-5.578813841017868e-21,-5.578812997869683e-21,-5.57881291714842e-21,-5.5788129960108364e-21,-5.578812896354166e-21,-5.578812995753487e-21,-5.578812995753487e-21,-5.578812995753487e-21,-5.578812995753487e-21,35901.303770070685
1999.0,0.1999999999999966,184120.5522589401,-2.0693586259455433e-10,-8.194996147917666e-14,-2.746917637307728e-16,-1.659429756412831e-17,4.595495131898991e-18,-1.2639243163428088e-18,-2.7561658789766044e-19,9.766870640290154e-20,-9.766561692270168e-21,1.115928837577749e-19,-5.582845405876489e-21,-5.5828445606370446e-21,-5.5828445216229476e-21,-5.5828445591560925e-21,-5.58284442209483e-21,-5.5828445218972135e-21,-5.5828445218972135e-21,-5.5828445218972135e-21,-5.5828445218972135e-21,36824.11045179003
1999.0,0.1999999999999967,188853.18472695816,-2.0773466796614815e-10,-8.218383330675011e-14,-2.737407109272765e-16,-1.6498226140788853e-17,4.584754972056207e-18,-1.2619124256964985e-18,-2.752293518949003e-19,9.756074442009857e-20,-9.756295003454152e-21,1.0692662804531231e-19,-5.5778128620956025e-21,-5.577812098126185e-21,-5.5778120901898916e-21,-5.57781209017264e-21,-5.577812090445993e-21,-5.577812095999956e-21,-5.577812095999956e-21,-5.577812095999956e-21,-5.577812095999956e-21,37770.63694539364
1999.0,0.19999999999999687,193707.46472319908,-2.077847174217841e-10,-8.219831098919538e-14,-2.7368608966939355e-16,-1.649215064973988e-17,4.5840817172534126e-18,-1.2617727986929458e-18,-2.7520559906448485e-19,9.755398464639801e-20,-9.755497436128928e-21,9.854248042426392e-20,-5.5775421129339874e-21,-5.5775413701759556e-21,-5.577541367864845e-21,-5.577541241316376e-21,-5.577541340955697e-21,-5.577541268209777e-21,-5.577541268209777e-21,-5.577541268209777e-21,-5.577541268209777e-21,38741.49294464184
1999.0,0.1999999999999969,198686.51907427012,-2.0698710352869387e-10,-8.195929151122081e-14,-2.746981799713186e-16,-1.658785938125576e-17,4.59489088164783e-18,-1.2637092066319395e-18,-2.756162997096847e-19,9.766123626799284e-20,-9.763259045665442e-21,8.553829096684335e-20,-5.5830681297428875e-21,-5.583067283779594e-21,-5.583067257872777e-21,-5.5830673573196176e-21,-5.583067236770243e-21,-5.5830673601082866e-21,-5.5830673601082866e-21,-5.5830673601082866e-21,-5.5830673601082866e-21,39737.303814856044
1999.0,0.19999999999999699,203793.55497869194,-2.0683395731194597e-10,-8.191628773695278e-14,-2.7485542433852345e-16,-1.6606239418909877e-17,4.596894298051999e-18,-1.2641186526250084e-18,-2.7568090422250285e-19,9.768151778961455e-20,-9.766063243522118e-21,6.674700296314321e-20,-5.583801938876107e-21,-5.583801168992784e-21,-5.583801167380712e-21,-5.5838011462623625e-21,-5.583801146534004e-21,-5.5838011465301006e-21,-5.5838011465301006e-21,-5.5838011465301006e-21,-5.5838011465301006e-21,40758.7109957404
1999.0,0.19999999999999712,209031.86207277802,-2.0702328726992955e-10,-8.196904751402451e-14,-2.7466371532107273e-16,-1.6583386675826765e-17,4.594411152036799e-18,-1.2636097931363212e-18,-2.7560408173215745e-19,9.765581731163088e-20,-9.762312437399375e-21,4.1106676808960236e-20,-5.582892498284868e-21,-5.582891694468018e-21,-5.582891690277167e-21,-5.5828915561437944e-21,-5.582891593363753e-21,-5.582891690274691e-21,-5.582891690274691e-21,-5.582891690274691e-21,-5.582891690274691e-21,41806.37241455762
1999.0,0.19999999999999712,214404.814549613,-2.0715710987069656e-10,-8.200707329732901e-14,-2.7451930279656733e-16,-1.6567217940991e-17,4.5926332812447e-18,-1.263251608524296e-18,-2.7554339474584896e-19,9.763798171041355e-20,-9.760115249364421e-21,7.480109835543705e-21,-5.5822518852259005e-21,-5.582251198754096e-21,-5.582251039276154e-21,-5.5822510392634384e-21,-5.582251039265487e-21,-5.582251197266091e-21,-5.582251197266091e-21,-5.582251197266091e-21,-5.582251197266091e-21,42880.962909924616
1999.0,0.19999999999999726,219915.87333250133,-2.0736627404291463e-10,-8.206826358405026e-14,-2.7426918329966353e-16,-1.654231122100828e-17,4.589856503103058e-18,-1.2627195956693581e-18,-2.754419347903857e-19,9.76094881436925e-20,-9.75735485947199e-21,-3.539847156979633e-20,-5.5808356889684485e-21,-5.5808348464030244e-21,-5.5808348174045824e-21,-5.5808349170249526e-21,-5.580834817143337e-21,-5.580834817371367e-21,-5.580834817371367e-21,-5.580834817371367e-21,-5.580834817371367e-21,43983.17466650228
