Sr,Population,value
1000.0,Competition Specialist,3592.885377053226
1012.7575873546546,Competition Specialist,3638.721926072906
1025.677930744422,Competition Specialist,3685.1432389041643
1038.763106543635,Competition Specialist,3732.156775688898
1052.0152176161591,Competition Specialist,3779.770091776036
1065.4363936533232,Competition Specialist,3827.9908389028947
1079.0287915161837,Competition Specialist,3876.8267664224218
1092.79459558214,Competition Specialist,3926.285722554004
1106.7360180959733,Competition Specialist,3976.3756556387907
1120.8552995253765,Competition Specialist,4027.1046154204914
1135.154708920999,Competition Specialist,4078.4807543380953
1149.6365442811061,Competition Specialist,4130.512328835824
1164.3031329208768,Competition Specialist,4183.207700690453
1179.1568318464128,Competition Specialist,4236.575338354629
1194.2000281335324,Competition Specialist,4290.62381831831
1209.435139311377,Competition Specialist,4345.361826486466
1224.8646137509306,Competition Specialist,4400.798159575448
1240.4909310584846,Competition Specialist,4456.94172652644
1256.3166024741201,Competition Specialist,4513.8015499372195
1272.3441712752879,Competition Specialist,4571.386767512112
1288.576213185518,Competition Specialist,4629.706633527977
1305.0153367883622,Competition Specialist,4688.770520334725
1321.6641839466051,Competition Specialist,4748.587919833347
1338.5254302268222,Competition Specialist,4809.168445031206
1355.601785329369,Competition Specialist,4870.52183157263
1372.895993523834,Competition Specialist,4932.657939301666
1390.4108340900696,Competition Specialist,4995.58675385294
1408.1491217648334,Competition Specialist,5059.318388252985
1426.1137071941284,Competition Specialist,5123.863084546061
1444.3074773913293,Competition Specialist,5189.2312154405145
1462.73335620113,Competition Specialist,5255.433285977135
1481.3943047694345,Competition Specialist,5322.479935209991
1500.2933220192183,Competition Specialist,5390.381937924195
1519.4334451324833,Competition Specialist,5459.150206372211
1538.8177500383463,Competition Specialist,5528.795792014675
1558.4493519073535,Competition Specialist,5599.329887294836
1578.331405652118,Competition Specialist,5670.7638274641995
1598.4671064343197,Competition Specialist,5743.1090923564
1618.8596901781975,Competition Specialist,5816.377308288997
1639.5124340905766,Competition Specialist,5890.580249887136
1660.4286571875296,Competition Specialist,5965.7298419946665
