Sr,Population,value
1000.0,Competition Specialist,3592.8853770203928
1012.7575873546546,Competition Specialist,3638.7219260729908
1025.677930744422,Competition Specialist,3685.1432389041893
1038.763106543635,Competition Specialist,3732.1567756889012
1052.0152176161591,Competition Specialist,3779.770091776025
1065.4363936533232,Competition Specialist,3827.990838902371
1079.0287915161837,Competition Specialist,3876.8267664224836
1092.79459558214,Competition Specialist,3926.2857225539537
1106.7360180959733,Competition Specialist,3976.375655638798
1120.8552995253765,Competition Specialist,4027.104615420548
1135.154708920999,Competition Specialist,4078.4807543380393
1149.6365442811061,Competition Specialist,4130.512328835844
1164.3031329208768,Competition Specialist,4183.20770069045
1179.1568318464128,Competition Specialist,4236.575338354679
1194.2000281335324,Competition Specialist,4290.6238183183095
1209.435139311377,Competition Specialist,4345.361826486491
1224.8646137509306,Competition Specialist,4400.798159575468
1240.4909310584846,Competition Specialist,4456.94172652644
1256.3166024741201,Competition Specialist,4513.801549937206
1272.3441712752879,Competition Specialist,4571.386767512646
1288.576213185518,Competition Specialist,4629.706633530411
1305.0153367883622,Competition Specialist,4688.770520334252
1321.6641839466051,Competition Specialist,4748.587919833386
1338.5254302268222,Competition Specialist,4809.168445031876
1355.601785329369,Competition Specialist,4870.521831572622
1372.895993523834,Competition Specialist,4932.6579393016
1390.4108340900696,Competition Specialist,4995.586753853007
1408.1491217648334,Competition Specialist,5059.318388252978
1426.1137071941284,Competition Specialist,5123.863084546136
1444.3074773913293,Competition Specialist,5189.2312154405145
1462.73335620113,Competition Specialist,5255.433285974574
1481.3943047694345,Competition Specialist,5322.479935207391
1500.2933220192183,Competition Specialist,5390.3819379240995
1519.4334451324833,Competition Specialist,5459.150206372246
1538.8177500383463,Competition Specialist,5528.795792014617
1558.4493519073535,Competition Specialist,5599.329887295325
1578.331405652118,Competition Specialist,5670.7638274595365
1598.4671064343197,Competition Specialist,5743.10909235596
1618.8596901781975,Competition Specialist,5816.377308289096
1639.5124340905766,Competition Specialist,5890.580249878288
1660.4286571875296,Competition Specialist,5965.72984199459
1681.611720827773,Competition Specialist,6041.838161587793
1703.0650292528444,Competition Specialist,6118.917439717879
1724.7920301341949,Competition Specialist,6196.98006347046
1746.7962151272457,Competition Specialist,6276.038577965512
1769.0811204325116,Competition Specialist,6356.105688364881
1791.6503273639014,Competition Specialist,6437.194261919643
1814.5074629242417,Competition Specialist,6519.317330033927
1837.6562003881704,Competition Specialist,6602.488090262927
1861.1002598924472,Competition Specialist,6686.719583338763
1884.8434090337953,Competition Specialist,6769.745420662506
1908.889463474391,Competition Specialist,6733.644534119121
1933.2422875550453,Competition Specialist,6733.62950313838
1957.905794916241,Competition Specialist,6733.629504716048
1982.8839491270714,Competition Specialist,6733.629503114303
2008.1807643222025,Competition Specialist,6733.629502645831
2033.8003058469822,Competition Specialist,6733.629502697848
2059.7466909107484,Competition Specialist,6733.629503710249
2086.024089248505,Competition Specialist,6733.629503133308
2112.6367237910063,Competition Specialist,6733.629503258681
2139.5888713434215,Competition Specialist,6733.629503195072
2166.8848632726344,Competition Specialist,6733.629503033938
2194.5290862033135,Competition Specialist,6733.6295030338415
2222.525982722885,Competition Specialist,6733.6295015250025
2250.880052095462,Competition Specialist,6733.629503032781
2279.5958509849193,Competition Specialist,6733.629502980147
2308.6779941871696,Competition Specialist,6733.629503033179
2338.1311553717815,Competition Specialist,6733.629503032068
2367.9600678330785,Competition Specialist,6733.629503031706
2398.169525250793,Competition Specialist,6733.6295030318615
2428.7643824604506,Competition Specialist,6733.629503031863
2459.7495562335657,Competition Specialist,6733.629503031751
2491.1300260677885,Competition Specialist,6733.629503016642
2522.910834987154,Competition Specialist,6733.629503031697
2555.097090352507,Competition Specialist,6733.629503029854
2587.693964682303,Competition Specialist,6733.629503026435
2620.7066964838523,Competition Specialist,6733.629503031807
2654.1405910951735,Competition Specialist,6733.629503031753
2688.0010215376074,Competition Specialist,6733.629503031756
2722.293429379274,Competition Specialist,6733.6295030331075
2757.0233256095826,Competition Specialist,6733.629503031555
2792.19629152487,Competition Specialist,6733.629503031751
2827.817979625341,Competition Specialist,6733.629503035884
2863.894114523477,Competition Specialist,6733.62950301692
2900.4304938639916,Competition Specialist,6733.629503031847
2937.4329892555656,Competition Specialist,6733.629503030823
2974.9075472144405,Competition Specialist,6733.62950303387
3012.86019012005,Competition Specialist,6733.62950303164
3051.297017182871,Competition Specialist,6733.62950302277
3090.2242054245785,Competition Specialist,6733.629503032577
3129.6480106707504,Competition Specialist,6733.629502618477
