Sr,Population,value
1000.0,Competition Specialist,3592.8853770203937
1012.7575873546546,Competition Specialist,3638.721926072977
1025.677930744422,Competition Specialist,3685.143238904177
1038.763106543635,Competition Specialist,3732.1567756888976
1052.0152176161591,Competition Specialist,3779.7700917760217
1065.4363936533232,Competition Specialist,3827.990838902375
1079.0287915161837,Competition Specialist,3876.826766422487
1092.79459558214,Competition Specialist,3926.2857225538833
1106.7360180959733,Competition Specialist,3976.3756556387502
1120.8552995253765,Competition Specialist,4027.104615420558
1135.154708920999,Competition Specialist,4078.4807543381294
1149.6365442811061,Competition Specialist,4130.512328835791
1164.3031329208768,Competition Specialist,4183.207700690439
1179.1568318464128,Competition Specialist,4236.575338354668
1194.2000281335324,Competition Specialist,4290.623818318322
1209.435139311377,Competition Specialist,4345.361826486479
1224.8646137509306,Competition Specialist,4400.79815957544
1240.4909310584846,Competition Specialist,4456.941726526443
1256.3166024741201,Competition Specialist,4513.801549937208
1272.3441712752879,Competition Specialist,4571.386767512109
1288.576213185518,Competition Specialist,4629.706633530602
1305.0153367883622,Competition Specialist,4688.770520334246
1321.6641839466051,Competition Specialist,4748.587919833374
1338.5254302268222,Competition Specialist,4809.1684450318835
1355.601785329369,Competition Specialist,4870.521831572679
1372.895993523834,Competition Specialist,4932.657939302105
1390.4108340900696,Competition Specialist,4995.586753852957
1408.1491217648334,Competition Specialist,5059.318388252976
1426.1137071941284,Competition Specialist,5123.863084546178
1444.3074773913293,Competition Specialist,5189.231215440516
1462.73335620113,Competition Specialist,5255.433285975034
1481.3943047694345,Competition Specialist,5322.479935207128
1500.2933220192183,Competition Specialist,5390.381937924195
1519.4334451324833,Competition Specialist,5459.15020637221
1538.8177500383463,Competition Specialist,5528.795792012192
1558.4493519073535,Competition Specialist,5599.329887294677
1578.331405652118,Competition Specialist,5670.763827459395
1598.4671064343197,Competition Specialist,5743.109092355933
1618.8596901781975,Competition Specialist,5816.377308289335
1639.5124340905766,Competition Specialist,5890.580249894063
1660.4286571875296,Competition Specialist,5965.729841993519
1681.611720827773,Competition Specialist,6041.83816158796
1703.0650292528444,Competition Specialist,6118.917439717103
1724.7920301341949,Competition Specialist,6196.980063471038
1746.7962151272457,Competition Specialist,6276.038577953285
1769.0811204325116,Competition Specialist,6356.1056883646415
1791.6503273639014,Competition Specialist,6437.194261920119
1814.5074629242417,Competition Specialist,6519.317330034794
1837.6562003881704,Competition Specialist,6602.488090326727
1861.1002598924472,Competition Specialist,6686.719745653659
1884.8434090337953,Competition Specialist,6770.851632809674
1908.889463474391,Competition Specialist,6733.65917744272
1933.2422875550453,Competition Specialist,6733.629503107528
1957.905794916241,Competition Specialist,6733.629504400788
1982.8839491270714,Competition Specialist,6733.629503027729
2008.1807643222025,Competition Specialist,6733.629505157504
2033.8003058469822,Competition Specialist,6733.62950269726
