t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.2000000000000044,158113.88300843624,1.3114515289780033e-09,1.9848446575721627e-18,-1.125471294789779e-25,-3.6664209943224165e-32,-3.125099959764442e-39,-1.989366715342052e-42,6.363751469089377e-46,-1.2144662467215175e-48,2.0043314141647277e-52,-8.799040492082826e-49,3.2924663988707015e-53,9.715332212003636e-55,8.612643255627241e-55,8.514730619155058e-55,8.50443849579662e-55,8.503269296433363e-55,8.503131668514435e-55,8.503115471214783e-55,8.503113660259485e-55,31622.776601683792
1999.0,0.1999999999999999,162178.0403617824,2.324226545298615e-10,6.259046228531489e-14,-7.525092362728927e-16,-6.682084948840058e-17,1.7895960103776672e-17,3.587724661963719e-19,-6.998108626268201e-19,2.0777181438457017e-19,4.32532633934971e-20,2.2434871731343226e-18,-2.237444250634263e-20,-2.237414650893129e-20,-2.237405850594956e-20,-2.2374038003635855e-20,-2.2374033215133512e-20,-2.237403208203343e-20,-2.237403181508267e-20,-2.237403174728171e-20,-2.2374031734334743e-20,32435.608072358114
1999.0,0.19999999999999926,166346.6627670452,-1.7849470255768872e-10,-1.34412063804865e-13,-6.845493364781126e-16,5.262261843773688e-17,-9.012671254595303e-18,1.6595244105222567e-19,4.188665556759147e-20,-2.620277894289516e-20,-1.4418586168509813e-20,-2.34501651325309e-19,-3.703342376767722e-21,-3.703193760858925e-21,-3.70317273270734e-21,-3.70316873547985e-21,-3.703167902469547e-21,-3.70316773585046e-21,-3.703167666119621e-21,-3.70316765546675e-21,-3.703167653810236e-21,33269.332553410386
1999.0,0.2000000000000004,170622.43539264824,7.57899215523195e-10,8.407426113874124e-14,-9.818274337539217e-16,-4.9757405480660455e-17,1.1181987412229066e-17,1.2613036092068076e-18,-3.0366536840703434e-19,6.615901266849024e-20,-1.9033028660634174e-22,7.371737836989331e-19,-1.577934189339588e-20,-1.5779043645398493e-20,-1.5778976954482216e-20,-1.5778961997129787e-20,-1.5778958623812467e-20,-1.5778957773474936e-20,-1.5778957585058447e-20,-1.5778957562640644e-20,-1.5778957523116023e-20,34124.487078528895
1999.0,0.1999999999999991,175008.11242653875,-2.1773964919870074e-10,-5.814592935721233e-14,-4.055123212749454e-16,8.87151066729127e-18,-4.551054265370064e-19,-2.0072483780099314e-19,-1.5840528867054258e-19,4.853431876785299e-21,3.933283645222824e-21,-4.13609709257424e-20,-3.094603238280873e-22,-3.0946144790642174e-22,-3.094605072316191e-22,-3.094602464178917e-22,-3.0946018121423747e-22,-3.094601659323332e-22,-3.094601623521969e-22,-3.094601615712438e-22,-3.094601612205326e-22,35001.62248530942
1999.0,0.1999999999999969,179506.5188503436,-1.5560254011162474e-10,-6.566561467771015e-14,-3.4638198192168366e-16,-2.687884469811081e-17,1.1319097258228758e-17,6.542287926546571e-19,-3.2767746713826903e-19,1.2911155147926941e-19,-1.4543974864503785e-20,1.516389412577112e-18,-2.940833776113592e-20,-2.9407739472979636e-20,-2.940761219424765e-20,-2.9407583755429997e-20,-2.940757737563369e-20,-2.940757588123108e-20,-2.940757553427974e-20,-2.9407575441663453e-20,-2.9407575516666237e-20,35901.303770070685
1999.0,0.20000000000000123,184120.5522589462,-2.5243001722730528e-11,-1.2761546577705838e-14,-1.9986869654729749e-16,-1.2067224486357471e-17,1.895372198511266e-18,-3.2024638683223356e-19,-4.121749612179422e-20,3.011699336443146e-20,-5.884914825750876e-21,4.427526301851325e-19,-3.524852510380868e-21,-3.524760206705462e-21,-3.5247434902660855e-21,-3.524740087744161e-21,-3.524739259614338e-21,-3.524739079148404e-21,-3.524739037399018e-21,-3.524739026929462e-21,-3.524739025200118e-21,36824.11045179003
1999.0,0.20000000000002327,188853.18472699405,2.7324720335896743e-09,7.099565519198062e-13,-1.1276873269479031e-15,-2.1228933684526615e-16,1.3265122347278779e-17,-9.408201327792517e-20,4.0185995253606033e-19,-5.035600686824926e-19,5.289396409183999e-20,-5.9311096060125564e-18,1.829926815555032e-19,1.8298851780052147e-19,1.8298769219236095e-19,1.8298751631808738e-19,1.8298747646137907e-19,1.829874672107685e-19,1.8298746502710463e-19,1.8298746338534107e-19,1.8298746330528272e-19,37770.63694539364
1999.0,0.19999999999999948,193707.46472319955,3.2362093723585683e-10,9.5731538347434e-14,-1.3653540805015558e-15,-1.1365465806016277e-16,2.2870111723521525e-17,2.520825699765766e-19,-5.48774648766405e-19,2.272953952142011e-19,-2.989146509937566e-21,2.0164721226501863e-18,-3.116422835378525e-20,-3.1163583299886916e-20,-3.1163447548391314e-20,-3.116341776934656e-20,-3.1163410972416325e-20,-3.116340940806009e-20,-3.1163409017786064e-20,-3.11634089549559e-20,-3.116340891441395e-20,38741.49294464184
1999.0,0.20000000000000576,198686.51907428243,9.686781846222188e-10,1.7542698763775412e-13,-2.6299149183014374e-15,-1.7600435012786642e-16,1.52450242269705e-17,-2.8576278270139857e-18,-2.726550069263565e-19,4.577688499701745e-19,-1.831840141457981e-20,6.005479797998683e-18,-3.689494273202192e-20,-3.689394585242276e-20,-3.6893765600095416e-20,-3.6893728455025703e-20,-3.6893720201178373e-20,-3.689371836179047e-20,-3.689371810612143e-20,-3.6893717979677266e-20,-3.6893717949209157e-20,39737.303814856044
