t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.20000000000000462,158113.88300841145,-3.3383630100998465e-10,-2.485895658386431e-19,7.218959208183975e-27,-3.899673838142918e-32,2.7773240971432935e-39,-9.168921963408552e-44,1.2414677043471173e-46,1.5212846387267598e-49,-6.429264032478788e-51,7.526436172342456e-50,-1.4574130109208992e-52,-1.420366598575653e-53,-1.3243953717419528e-53,-1.3038040114531088e-53,-1.298273385896774e-53,-1.2966068554665334e-53,-1.2960644046177134e-53,-1.2958771711117737e-53,-1.2958093378837784e-53,31622.776601683792
1999.0,0.1999999999999996,162178.0403617814,2.9390369806323386e-10,7.917804106194015e-14,-9.114588327381128e-16,-7.507131996372092e-17,2.0825448263753097e-17,3.0420272889799957e-19,-8.301941377425685e-19,2.449647632045085e-19,5.0439304690405204e-20,2.6486124903896415e-18,-2.6723176209247684e-20,-2.6723147674993075e-20,-2.672311293429411e-20,-2.6723092273947252e-20,-2.6723079912274504e-20,-2.672307260350386e-20,-2.6723067973508045e-20,-2.672306513401962e-20,-2.672306291485399e-20,32435.608072358114
1999.0,0.19999999999999704,166346.66276704043,-4.803899182558385e-10,-2.49679233684577e-13,5.925120507703634e-16,8.147028303543551e-17,-2.7796450723975704e-17,6.6458122201415455e-19,4.097584282602582e-19,-1.3925943051039014e-19,-3.3451821373406514e-20,-1.3285681928178909e-18,-1.0319248060062193e-20,-1.031915884957006e-20,-1.0319138718333542e-20,-1.0319129499320457e-20,-1.0319124494575325e-20,-1.0319121642753425e-20,-1.0319119813620446e-20,-1.0319118629417691e-20,-1.031911788757819e-20,33269.332553410386
1999.0,0.20000000000000043,170622.4353926483,7.612084035138105e-10,8.411755892140506e-14,-9.92552155905092e-16,-4.934340020788732e-17,1.1167111681573433e-17,1.2651725951123157e-18,-3.0513823716264667e-19,6.64297778935199e-20,-8.782933663591889e-23,7.39642563520461e-19,-1.5856620065016698e-20,-1.5856566085808894e-20,-1.58565426819165e-20,-1.5856529970884944e-20,-1.5856522731060785e-20,-1.5856518375943184e-20,-1.5856515652378102e-20,-1.5856513806887646e-20,-1.5856512607771536e-20,34124.487078528895
1999.0,0.2000000000000014,175008.11242654803,-2.718086667167209e-10,-3.097498728000386e-14,-6.200283284557073e-16,-1.954816763305536e-17,-4.113255482957832e-19,8.925770172771413e-20,-6.238615864797734e-20,2.8928881501283576e-20,6.997488819936827e-21,2.8584171055822685e-19,-7.688713890794685e-22,-7.688742755972256e-22,-7.688735012609413e-22,-7.68872948960627e-22,-7.688726223395385e-22,-7.688724090400096e-22,-7.688722710695051e-22,-7.688721847027604e-22,-7.688721254366437e-22,35001.62248530942
1999.0,0.19999999999999624,179506.518850345,-3.8224214148668265e-10,-1.2905257231359675e-13,1.751910499361136e-17,4.43789617477575e-18,2.861359470052884e-18,5.12165022237415e-20,-2.837311266972901e-19,1.2346562008600668e-19,3.1680444884698225e-20,1.0916175589016801e-18,-1.2673959954014525e-20,-1.2673965909242538e-20,-1.2673950127788103e-20,-1.2673940497305618e-20,-1.2673934894152388e-20,-1.2673931369830328e-20,-1.2673929238981883e-20,-1.267392780328321e-20,-1.2673926837220805e-20,35901.303770070685
1999.0,0.1999999999999987,184120.5522589415,-2.3799398929102413e-10,-1.9752764025541513e-13,2.745195275519124e-16,5.193311284203482e-17,-1.7839374521797304e-17,3.1492801541667117e-19,1.7921751269962802e-19,-5.066015619011543e-20,-2.218025940034928e-20,-3.7153090453556065e-19,-1.2057125221219224e-20,-1.205704820239339e-20,-1.2057027177742487e-20,-1.2057016907945236e-20,-1.2057011283163062e-20,-1.2057007940053201e-20,-1.205700584756157e-20,-1.2057004480405514e-20,-1.2057003554191442e-20,36824.11045179003
1999.0,0.2000000000000229,188853.1847269942,2.7220810628929157e-09,7.073837794667159e-13,-1.1153527800583005e-15,-2.1131119375101446e-16,1.3190157826567853e-17,-8.919379930188092e-20,4.0300538543799533e-19,-5.031503110878691e-19,5.259004680300541e-20,-5.923997981808235e-18,1.8256120774628772e-19,1.825603439532625e-19,1.8256004601570555e-19,1.8255989299846939e-19,1.8255980860935638e-19,1.8255975843455487e-19,1.8255972676967394e-19,1.8255970579776448e-19,1.82559692120557e-19,37770.63694539364
1999.0,0.19999999999999937,193707.46472319931,3.403613298266749e-10,9.19825111728231e-14,-9.809477093287814e-16,-8.794606053795097e-17,2.4111748996732788e-17,1.4915135445316201e-18,-5.602057068210335e-19,2.1527278457912234e-19,-6.573050633262394e-22,1.6699589323336526e-18,-3.669645018891839e-20,-3.6696326491228586e-20,-3.6696271586943994e-20,-3.6696241997703265e-20,-3.669622519985842e-20,-3.669621515147343e-20,-3.669620873401719e-20,-3.6696204689162664e-20,-3.669620177852742e-20,38741.49294464184
1999.0,0.2000000000000069,198686.51907428223,1.0189419858683244e-09,1.981209379052814e-13,-2.2254305057180136e-15,-1.2921471544796405e-16,1.612578693952738e-17,-2.8853116292760932e-18,-6.190049427582739e-19,4.905565198967329e-19,-1.9189131482248273e-20,5.503246453987484e-18,-5.169297600797052e-20,-5.169270724868361e-20,-5.169261606446145e-20,-5.169257112752896e-20,-5.169254633232191e-20,-5.169253204040115e-20,-5.1692522927674154e-20,-5.169251744960238e-20,-5.1692513291557984e-20,39737.303814856044
