,genus,phyla,num_isolates,bp,NumContigs,mT1,rT1,sT1,rmT1,mT2,rT2,rmT2,mT3,rT3,rmT3,T4,T2G,pr,prm,rmT?,pT2G,T2G_posthoc,rmTotal,bp_std,NumContigs_std,mT1_std,rT1_std,sT1_std,rmT1_std,mT2_std,rT2_std,rmT2_std,mT3_std,rT3_std,rmT3_std,T4_std,T2G_std,pr_std,prm_std,rmT?_std,pT2G_std,T2G_posthoc_std,rmTotal_std,Morphology
3,Prochlorothrix,Cyanobacteria,1,5646343,13,7,6,8,1,10,3,2,2,2,2,1,0,0,0,0,7,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Filamentous
8,Geminocystis,Cyanobacteria,3,4243851.667,6.333333333,2.333333333,4.666666667,5,1,14.66666667,5.666666667,3.333333333,0,0,0,0.666666667,1,0,0,0,5.666666667,5,11,192736.8235,5.507570547,1.527525232,1.527525232,1.732050808,1,6.506407099,3.785938897,2.309401077,0,0,0,0.577350269,0,0,0,0,5.507570547,4.358898944,7.211102551,Unicellular
9,Cyanosarcina,Cyanobacteria,1,7549128,256,1,1,1,0,9,5,3,0,4,0,2,1,0,0,0,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,Anabaenopsis,Cyanobacteria,1,7069985,4,1,8,1,0,10,4,2,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,Mastigocladus,Cyanobacteria,2,7943090,115.5,1,1,1,0,5,1,1,0,0,0,0.5,0,0,0,0,0,0,1.5,872699.8756,82.7314934,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0.707106781,
167,Crocosphaera,Cyanobacteria,6,5533818.5,974.1666667,1.666666667,3.833333333,3.166666667,0,15.16666667,6.166666667,2.5,0,2.166666667,0,2,0,0,0,0.666666667,1.333333333,1.333333333,6.5,723634.5922,369.4565829,0.516397779,0.98319208,0.98319208,0,1.471960144,1.722401424,1.048808848,0,1.169045194,0,0,0,0,0,0.516397779,0.816496581,0.816496581,1.378404875,Unicellular
184,Mastigocladopsis,Cyanobacteria,1,6465655,3,1,1,1,0,11,3,3,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ramified
237,Scytonema,Cyanobacteria,6,9436169.333,85.5,2,4.833333333,2.833333333,0.333333333,10.83333333,5.5,3,0,0.5,0,1.666666667,0,0,0,0,1.333333333,1.333333333,6.333333333,1766591.031,103.2758442,1.264911064,1.169045194,1.834847859,0.816496581,4.792355023,3.937003937,2.529822128,0,0.547722558,0,1.032795559,0,0,0,0,0.816496581,0.816496581,3.011090611,Filamentous
279,Acaryochloris,Cyanobacteria,3,7389639,197.6666667,2.666666667,2.666666667,2.666666667,1,8.333333333,1,0,0.333333333,0.666666667,0.333333333,0,0,0,0,0,0,0,1.333333333,1285674.884,273.1196319,0.577350269,1.527525232,0.577350269,1,4.725815626,0,0,0.577350269,1.154700538,0.577350269,0,0,0,0,0,0,0,1.154700538,Unicellular
285,Planktothrix,Cyanobacteria,12,6150324.583,48,2,3.583333333,1.75,0,25.5,11,6.416666667,1.166666667,2.25,1.166666667,1.25,1.75,0,0,0,9.666666667,9,19.58333333,1702520.829,77.20692385,1.044465936,1.505042031,0.965307299,0,2.153221688,3.437758255,1.880924982,0.83484711,1.356801051,0.83484711,0.452267017,0.866025404,0,0,0,2.498484389,2.132007164,3.70401093,Filamentous
