,genus,phyla,num_isolates,bp,NumContigs,mT1,rT1,sT1,rmT1,mT2,rT2,rmT2,mT3,rT3,rmT3,T4,T2G,pr,prm,rmT?,pT2G,T2G_posthoc,rmTotal,bp_std,NumContigs_std,mT1_std,rT1_std,sT1_std,rmT1_std,mT2_std,rT2_std,rmT2_std,mT3_std,rT3_std,rmT3_std,T4_std,T2G_std,pr_std,prm_std,rmT?_std,pT2G_std,T2G_posthoc_std,rmTotal_std
0,Fastidiosibacter,Proteobacteria,1,2068591.0,62.0,2.0,2.0,2.0,0.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Sulfolobus,Crenarchaeota,75,2335592.066666667,10.493333333333334,0.04,0.04,0.04,0.02666666666666667,3.3733333333333335,0.84,0.7466666666666667,0.0,0.10666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.8,196337.47498454363,21.182203987445824,0.19727878476642866,0.19727878476642866,0.19727878476642866,0.16219218941214866,0.7671169848650655,0.3690748111375475,0.43784895992991885,0.0,0.3107677212591046,0.0,0.1154700538379252,0.0,0.0,0.0,0.0,0.11547005383792525,0.11547005383792525,0.4026936331284143
2,Agrococcus,Actinobacteria,8,2925572.375,15.5,0.75,0.875,0.75,0.125,2.0,0.875,0.375,0.0,1.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221046.72397671785,21.084862545708678,0.7071067811865476,0.9910312089651149,0.7071067811865476,0.3535533905932738,1.3093073414159542,0.3535533905932738,0.5175491695067657,0.0,0.3535533905932738,0.0,0.5345224838248488,0.0,0.0,0.0,0.0,0.0,0.0,0.5345224838248488
3,Prochlorothrix,Cyanobacteria,1,5646343.0,13.0,7.0,6.0,8.0,1.0,10.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Scardovia,Actinobacteria,4,1677047.5,3.25,0.5,0.5,1.0,0.0,2.0,2.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,143090.64921813257,3.8622100754188224,0.5773502691896257,0.5773502691896257,1.1547005383792515,0.0,1.1547005383792515,1.1547005383792515,0.5773502691896257,0.0,0.0,0.0,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,1.7320508075688772
5,Sulfuritalea,Proteobacteria,1,3802648.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Desulfocapsa,Proteobacteria,1,4023512.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Pelagibacterium,Proteobacteria,5,3739765.6,42.4,0.4,0.6,0.4,0.0,2.2,1.2,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,464332.4387023806,31.34166555880526,0.5477225575051662,0.5477225575051662,0.5477225575051662,0.0,0.44721359549995787,0.8366600265340756,0.5477225575051662,0.0,0.447213595499958,0.0,0.0,0.44721359549995804,0.0,0.0,0.0,0.0,0.0,0.5477225575051662
8,Geminocystis,Cyanobacteria,3,4243851.666666667,6.333333333333333,2.3333333333333335,4.666666666666667,5.0,1.0,14.666666666666666,5.666666666666667,3.3333333333333335,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,5.666666666666667,5.0,11.0,192736.82351936106,5.507570547286102,1.5275252316519468,1.5275252316519465,1.7320508075688772,1.0,6.506407098647712,3.7859388972001824,2.3094010767585034,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,5.507570547286102,4.358898943540674,7.211102550927978
9,Cyanosarcina,Cyanobacteria,1,7549128.0,256.0,1.0,1.0,1.0,0.0,9.0,5.0,3.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chloroflexus,Chloroflexi,6,5001759.833333333,63.333333333333336,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,14.5,10.666666666666666,6.166666666666667,0.0,0.16666666666666666,0.0,2.8333333333333335,0.5,0.0,0.0,0.0,1.8333333333333333,1.5,11.0,253703.25580836888,104.46370980712233,0.752772652709081,0.5163977794943223,0.816496580927726,0.0,1.6431676725154984,2.3380903889000244,1.7224014243685086,0.0,0.408248290463863,0.0,0.752772652709081,0.5477225575051661,0.0,0.0,0.0,1.329160135825126,1.0488088481701516,2.0
11,Moraxella,Proteobacteria,165,2123087.1636363636,43.339393939393936,0.9333333333333333,0.8242424242424242,2.1454545454545455,0.10303030303030303,4.7272727272727275,2.9454545454545453,2.1272727272727274,1.018181818181818,1.3757575757575757,0.9878787878787879,0.6545454545454545,0.10909090909090909,0.0,0.0,0.03636363636363636,0.2,0.17575757575757575,4.193939393939394,322869.5328979798,47.09558222895336,0.7740716968536687,0.7066885603714987,1.4066676824886089,0.30492386943185956,2.4102515716374797,1.642627822752258,1.4062735585609785,0.8371898936084256,1.111752709559819,0.8553125144724335,0.5370940946601871,0.33162905037254775,0.0,0.0,0.18776311915156632,0.4579913728019067,0.4410563145216866,2.1008040554110097
12,Janibacter,Actinobacteria,12,3348271.75,70.75,1.5,1.4166666666666667,1.0833333333333333,0.08333333333333333,1.5,0.9166666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.5,407744.0333647669,89.10680516813925,1.6787441193290353,1.6764862244009227,1.5050420310248864,0.28867513459481287,1.0,0.9962049198956219,0.6513389472789295,0.6513389472789296,0.6513389472789296,0.6513389472789296,0.5222329678670935,0.38924947208076144,0.0,0.0,0.0,0.28867513459481287,0.28867513459481287,1.243163121016122
13,Anaeromassilibacillus,Firmicutes,7,3170841.714285714,47.857142857142854,1.2857142857142858,1.4285714285714286,1.8571428571428572,0.0,9.285714285714286,2.142857142857143,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,1.8571428571428572,543790.766990612,53.4241785818262,1.1126972805283735,1.2724180205607036,1.7728105208558367,0.0,4.8892496259407645,1.5735915849388862,0.8997354108424372,0.5345224838248487,0.5345224838248487,0.48795003647426666,0.7867957924694431,0.3779644730092273,0.0,0.0,0.0,0.48795003647426655,0.0,1.5735915849388864
14,Moritella,Proteobacteria,20,5003865.45,121.1,1.65,1.7,2.0,0.1,5.15,1.2,0.5,0.4,0.85,0.35,0.95,0.05,0.0,0.0,0.15,0.3,0.25,2.35,227305.31475099744,64.21829547476491,1.1367080817685316,1.0310954828418375,1.2139539573337679,0.30779350562554625,2.433861994963214,0.9514531821875087,0.512989176042577,0.598243041616119,0.9333020044867296,0.48936048492959294,0.998683343734455,0.22360679774997894,0.0,0.0,0.3663475485325232,0.47016234598162715,0.4442616583193193,1.5312533566021211
15,Neptunomonas,Proteobacteria,6,4309120.166666667,77.66666666666667,1.0,1.0,1.0,0.5,2.8333333333333335,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.8333333333333333,298289.2034461969,102.13455177689215,1.0954451150103321,1.0954451150103321,1.0954451150103321,0.5477225575051661,2.1369760566432805,1.1690451944500122,0.5163977794943223,0.408248290463863,0.5477225575051661,0.408248290463863,0.5163977794943223,0.0,0.0,0.0,0.0,0.408248290463863,0.408248290463863,0.752772652709081
16,Tomitella,Actinobacteria,1,4709534.0,113.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Parvimonas,Firmicutes,7,1616435.8333333333,15.166666666666666,0.8571428571428571,0.8571428571428571,1.0,0.0,5.285714285714286,1.5714285714285714,1.2857142857142858,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,1.7142857142857142,86345.1132778611,18.247374240330213,0.3779644730092272,0.3779644730092272,0.816496580927726,0.0,2.0586634591635513,1.2724180205607036,1.1126972805283735,0.7867957924694431,0.7867957924694431,0.4879500364742666,0.37796447300922725,0.0,0.0,0.0,0.0,0.7559289460184545,0.0,1.3801311186847083
18,Methanothermus,Euryarchaeota,1,1243342.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Cognatishimia,Proteobacteria,1,3284915.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Albimonas,Proteobacteria,2,5520795.5,49.0,1.5,2.0,1.5,0.0,10.5,3.0,2.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,716159.8693060789,26.870057685088806,2.1213203435596424,1.4142135623730951,2.1213203435596424,0.0,9.192388155425117,2.8284271247461903,3.5355339059327378,0.0,0.7071067811865476,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,2.1213203435596424
21,Candidatus Fonsibacter,Proteobacteria,1,1160202.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Tistrella,Proteobacteria,2,6375382.0,119.0,0.5,1.0,0.5,0.0,4.0,2.0,0.5,0.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,194597.20039610026,161.22034611053283,0.7071067811865476,0.0,0.7071067811865476,0.0,2.8284271247461903,1.4142135623730951,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951
23,Marinospirillum,Proteobacteria,5,3010078.4,28.4,2.4,2.6,2.6,0.4,2.0,1.6,0.4,0.6,0.8,0.6,0.6,0.0,0.0,0.0,0.2,0.8,0.6,2.8,126387.03249265725,23.807561823924768,1.3416407864998738,1.6733200530681511,1.6733200530681511,0.5477225575051662,2.0,1.9493588689617927,0.5477225575051662,0.5477225575051662,0.8366600265340756,0.5477225575051662,0.8944271909999159,0.0,0.0,0.0,0.44721359549995804,1.30384048104053,0.8944271909999157,2.3874672772626644
24,Halobacteroides,Firmicutes,1,2649255.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Candidatus Berkiella,Proteobacteria,2,3307804.0,50.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,449039.6761111428,8.48528137423857,0.0,0.0,0.7071067811865476,0.0,1.4142135623730951,0.0,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
26,Caldisphaera,Crenarchaeota,1,1546846.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
